Time,Channel A
(s),(V)

152.86698215,0.00640889
152.90031556,0.00869778
152.93364896,0.00579852
152.96698236,0.00610370
153.00031576,0.00976592
153.03364917,0.00564592
153.06698257,0.00518815
153.10031597,0.00930815
153.13364937,0.00518815
153.16698277,0.00640889
153.20031618,0.00991852
153.23364958,0.00564592
153.26698298,0.00534074
153.30031638,0.00869778
153.33364978,0.00625629
153.36698319,0.00579852
153.40031659,0.00793481
153.43364999,0.00427259
153.46698339,0.00534074
153.50031679,0.00900296
153.53365020,0.00503555
153.56698360,0.00534074
153.60031700,0.00732444
153.63365040,0.00366222
153.66698381,0.00442518
153.70031721,0.00747704
153.73365061,0.00244148
153.76698401,0.00534074
153.80031741,0.00762963
153.83365082,0.00274667
153.86698422,0.00335704
153.90031762,0.00701926
153.93365102,0.00274667
153.96698442,0.00366222
154.00031783,0.00656148
154.03365123,0.00213630
154.06698463,0.00320444
154.10031803,0.00534074
154.13365144,0.00152593
154.16698484,0.00259407
154.20031824,0.00503555
154.23365164,0.00167852
154.26698504,0.00213630
154.30031845,0.00457778
154.33365185,0.00030519
154.36698525,0.00091556
154.40031865,0.00442518
154.43365205,-0.00045778
154.46698546,0.00122074
154.50031886,0.00381481
154.53365226,-0.00045778
154.56698566,0.00015259
154.60031907,0.00320444
154.63365247,-0.00076296
154.66698587,0.00015259
154.70031927,0.00274667
154.73365267,-0.00152593
154.76698608,-0.00091556
154.80031948,0.00244148
154.83365288,-0.00305185
154.86698628,-0.00167852
154.90031968,0.00183111
154.93365309,-0.00350963
154.96698649,-0.00167852
155.00031989,0.00030519
155.03365329,-0.00350963
155.06698669,-0.00228889
155.10032010,0.00061037
155.13365350,-0.00549333
155.16698690,-0.00289926
155.20032030,-0.00106815
155.23365371,-0.00579852
155.26698711,-0.00305185
155.30032051,-0.00137333
155.33365391,-0.00640889
155.36698731,-0.00381481
155.40032072,-0.00228889
155.43365412,-0.00656148
155.46698752,-0.00412000
155.50032092,-0.00259407
155.53365432,-0.00686667
155.56698773,-0.00442518
155.60032113,-0.00289926
155.63365453,-0.00717185
155.66698793,-0.00595111
155.70032134,-0.00228889
155.73365474,-0.00839259
155.76698814,-0.00579852
155.80032154,-0.00427259
155.83365494,-0.00946074
155.86698835,-0.00640889
155.90032175,-0.00442518
155.93365515,-0.01113926
155.96698855,-0.00717185
156.00032195,-0.00534074
156.03365536,-0.01144444
156.06698876,-0.00747704
156.10032216,-0.00579852
156.13365556,-0.01144444
156.16698897,-0.00839259
156.20032237,-0.00686667
156.23365577,-0.01068148
156.26698917,-0.00900296
156.30032257,-0.00671407
156.33365598,-0.01236000
156.36698938,-0.00869778
156.40032278,-0.00686667
156.43365618,-0.01251259
156.46698958,-0.00885037
156.50032299,-0.00762963
156.53365639,-0.01266518
156.56698979,-0.00885037
156.60032319,-0.00778222
156.63365659,-0.01297037
156.66699000,-0.00991852
156.70032340,-0.00808741
156.73365680,-0.01312296
156.76699020,-0.00930815
156.80032361,-0.00747704
156.83365701,-0.01236000
156.86699041,-0.01037629
156.90032381,-0.00824000
156.93365721,-0.01281777
156.96699062,-0.00946074
157.00032402,-0.00824000
157.03365742,-0.01358074
157.06699082,-0.00991852
157.10032422,-0.00762963
157.13365763,-0.01358074
157.16699103,-0.00946074
157.20032443,-0.00885037
157.23365783,-0.01281777
157.26699124,-0.00961333
157.30032464,-0.00717185
157.33365804,-0.01251259
157.36699144,-0.00930815
157.40032484,-0.00808741
157.43365825,-0.01327555
157.46699165,-0.00869778
157.50032505,-0.00839259
157.53365845,-0.01327555
157.56699185,-0.00839259
157.60032526,-0.00747704
157.63365866,-0.01159703
157.66699206,-0.00671407
157.70032546,-0.00824000
157.73365887,-0.01129185
157.76699227,-0.00686667
157.80032567,-0.00747704
157.83365907,-0.01052889
157.86699247,-0.00717185
157.90032588,-0.00686667
157.93365928,-0.01068148
157.96699268,-0.00625629
158.00032608,-0.00625629
158.03365948,-0.01007111
158.06699289,-0.00549333
158.10032629,-0.00579852
158.13365969,-0.00991852
158.16699309,-0.00503555
158.20032649,-0.00579852
158.23365990,-0.00946074
158.26699330,-0.00442518
158.30032670,-0.00427259
158.33366010,-0.00762963
158.36699351,-0.00381481
158.40032691,-0.00289926
158.43366031,-0.00640889
158.46699371,-0.00152593
158.50032711,-0.00305185
158.53366052,-0.00625629
158.56699392,-0.00228889
158.60032732,-0.00274667
158.63366072,-0.00534074
158.66699412,-0.00030519
158.70032753,-0.00213630
158.73366093,-0.00473037
158.76699433,-0.00030519
158.80032773,0.00030519
158.83366114,-0.00320444
158.86699454,0.00045778
158.90032794,0.00076296
158.93366134,-0.00259407
158.96699474,0.00091556
159.00032815,0.00076296
159.03366155,-0.00167852
159.06699495,0.00305185
159.10032835,0.00198370
159.13366175,-0.00076296
